Daerah,provinsi,sumDesa,danadesa,tahun,miskin,miskin_perc,populasi,ipm,pdrb_tani,pdrb_growth
Kab. Sumenep,Jawa Timur,330,276309656,2018,218.6,20.16,1084.325,,,
Kab. Trenggalek,Jawa Timur,152,127827455,2018,83.5,12.02,694.676,,,
Kab. Tuban,Jawa Timur,311,225648488,2018,178.64,15.31,1166.819,,,
Kab. Tulungagung,Jawa Timur,257,205680279,2018,75.23,7.27,1034.801,,,
Kota Batu,Jawa Timur,19,21641636,2018,7.98,3.89,205.141,,,
Kab. Bantul,DIY,75,81576312,2018,134.84,13.43,1004.021,,,
Kab. Gunung Kidul,DIY,144,118761945,2018,125.76,17.12,734.579,,,
Kab. Kulon Progo,DIY,87,77889191,2018,77.72,18.3,424.699,,,
Kab. Sleman,DIY,86,83666949,2018,92.04,7.65,1203.137,,,
Indonesia,Indonesia,74954,60000000000,2018,25674.58,9.66,265782.402,,,
